year_team,po_year,team_full,mean_age,mean_height,mean_weight,PtsSeason,OppPtsSeason,PtsDiff,Reb,Ast,Stl,Blk,To,Pf,Dreb,Oreb,playoffs
1999_Philadelphia 76ers,1999,Philadelphia 76ers,27.375,202.40625,102.284996,89.7,87.6,2.1000000000000085,43.3,18.7,10.8,5.4,15.2,23.4,28.4,14.9,True
1999_Phoenix Suns,1999,Phoenix Suns,28.058823529411764,200.66,102.45842823529412,95.6,93.3,2.299999999999997,39.9,24.8,9.0,3.9,13.1,20.9,28.0,11.9,True
1999_Portland Trail Blazers,1999,Portland Trail Blazers,27.8,201.168,99.4273664,94.8,88.5,6.299999999999997,43.2,20.8,8.1,5.5,14.5,22.8,30.9,12.3,True
1999_Sacramento Kings,1999,Sacramento Kings,26.357142857142858,202.29285714285714,108.53808571428571,100.2,100.6,-0.3999999999999915,45.2,22.2,9.0,4.6,16.6,20.6,31.2,14.0,True
1999_San Antonio Spurs,1999,San Antonio Spurs,30.071428571428573,200.66000000000003,99.43384628571428,92.8,84.7,8.099999999999994,43.0,21.8,8.1,6.7,14.3,20.6,31.4,11.6,True
1999_Seattle SuperSonics,1999,Seattle SuperSonics,28.0625,201.93,98.9114055,94.9,95.9,-1.0,42.0,21.7,7.9,4.0,14.4,20.9,28.4,13.5,False
1999_Toronto Raptors,1999,Toronto Raptors,27.466666666666665,199.47466666666665,97.975872,91.1,92.8,-1.7000000000000028,43.2,20.7,8.8,6.4,15.3,22.8,28.9,14.2,False
1999_Utah Jazz,1999,Utah Jazz,29.714285714285715,201.56714285714287,101.66940685714285,93.3,86.8,6.5,41.5,23.7,7.9,5.4,15.5,23.5,30.4,11.1,True
1999_Vancouver Grizzlies,1999,Vancouver Grizzlies,26.133333333333333,199.64399999999998,98.58066133333334,88.9,97.5,-8.599999999999994,40.2,19.3,8.4,4.0,16.1,22.5,27.2,13.0,False
1999_Washington Wizards,1999,Washington Wizards,27.933333333333334,201.168,101.9674816,91.2,93.4,-2.200000000000003,40.0,21.3,7.9,3.9,14.2,23.0,28.1,11.9,False
2000_Atlanta Hawks,2000,Atlanta Hawks,26.692307692307693,201.24615384615385,100.66253230769232,94.3,99.7,-5.400000000000006,45.3,18.9,6.1,5.6,14.9,21.0,31.3,14.0,False
2000_Boston Celtics,2000,Boston Celtics,26.642857142857142,198.8457142857143,98.68865942857143,99.3,100.1,-0.7999999999999972,43.0,21.2,9.7,3.5,14.9,27.1,29.5,13.5,False
2000_Charlotte Hornets,2000,Charlotte Hornets,27.941176470588236,199.7635294117647,99.87028564705882,98.4,95.8,2.6000000000000085,43.0,24.6,8.9,5.8,14.2,20.4,32.1,10.9,True
2000_Chicago Bulls,2000,Chicago Bulls,27.294117647058822,196.92470588235295,97.30882494117647,84.8,94.2,-9.400000000000006,40.9,20.0,7.9,4.7,17.5,23.3,28.3,12.6,False
2000_Cleveland Cavaliers,2000,Cleveland Cavaliers,27.166666666666668,199.67222222222222,100.52102711111111,97.0,100.5,-3.5,42.8,23.7,8.7,4.4,16.9,27.1,30.5,12.3,False
2000_Dallas Mavericks,2000,Dallas Mavericks,26.823529411764707,202.15411764705883,99.6034668235294,101.4,102.0,-0.5999999999999943,41.2,22.1,7.2,5.1,13.2,21.6,29.8,11.4,False
2000_Denver Nuggets,2000,Denver Nuggets,26.533333333333335,199.81333333333333,98.0665904,99.0,101.1,-2.0999999999999943,44.7,23.3,6.8,7.5,15.1,23.9,31.6,13.1,False
2000_Detroit Pistons,2000,Detroit Pistons,28.357142857142858,201.02285714285716,100.82702171428572,103.5,102.0,1.5,40.9,20.6,8.0,3.2,15.3,24.5,29.9,11.0,True
2000_Golden State Warriors,2000,Golden State Warriors,27.833333333333332,201.92999999999998,102.00780088888888,95.5,103.8,-8.299999999999997,45.6,22.6,8.9,4.3,15.3,24.9,29.7,15.9,False
2000_Houston Rockets,2000,Houston Rockets,28.125,202.2475,106.2255765,99.5,100.3,-0.7999999999999972,43.8,21.6,7.5,5.3,16.6,20.3,31.5,12.3,False
2000_Indiana Pacers,2000,Indiana Pacers,29.428571428571427,205.0142857142857,101.96100171428573,101.3,96.7,4.599999999999994,41.8,22.1,6.5,5.0,13.0,22.1,31.5,10.2,True
2000_Los Angeles Clippers,2000,Los Angeles Clippers,26.176470588235293,201.7058823529412,100.53733270588235,92.0,103.5,-11.5,40.6,18.0,7.0,6.0,15.4,22.2,29.0,11.6,False
2000_Los Angeles Lakers,2000,Los Angeles Lakers,28.642857142857142,201.3857142857143,101.2482142857143,100.8,92.3,8.5,46.2,23.1,7.3,6.3,13.1,23.1,32.7,13.5,True
2000_Miami Heat,2000,Miami Heat,28.75,200.3425,102.0865495,94.4,91.3,3.1000000000000085,43.2,23.1,7.1,6.2,14.3,24.0,32.0,11.2,True
2000_Milwaukee Bucks,2000,Milwaukee Bucks,27.923076923076923,201.44153846153844,101.77906646153846,101.2,101.0,0.20000000000000284,41.4,22.5,8.1,4.7,14.2,24.7,29.1,12.3,True
2000_Minnesota Timberwolves,2000,Minnesota Timberwolves,27.53846153846154,200.46461538461537,98.04565538461537,98.5,96.0,2.5,42.2,26.7,7.5,5.4,13.4,23.3,29.9,12.3,True
2000_New Jersey Nets,2000,New Jersey Nets,28.866666666666667,201.676,100.6067056,98.0,99.0,-1.0,40.9,20.6,8.8,4.8,12.8,23.3,28.2,12.7,False
2000_New York Knicks,2000,New York Knicks,30.214285714285715,201.74857142857144,100.43822857142857,92.1,90.7,1.3999999999999915,40.2,18.6,6.3,4.2,13.7,24.0,30.7,9.5,True
2000_Orlando Magic,2000,Orlando Magic,25.9375,199.39,98.996454,100.1,99.4,0.6999999999999886,44.9,20.8,9.1,5.7,17.3,24.0,31.0,14.0,False
2000_Philadelphia 76ers,2000,Philadelphia 76ers,27.133333333333333,202.86133333333333,101.84652373333333,94.8,93.4,1.3999999999999915,43.9,21.8,9.3,4.7,14.8,23.5,30.0,13.9,True
2000_Phoenix Suns,2000,Phoenix Suns,29.529411764705884,202.00470588235294,103.36561223529412,98.9,93.7,5.200000000000003,43.8,25.1,9.0,5.4,16.1,24.4,31.2,12.6,True
2000_Portland Trail Blazers,2000,Portland Trail Blazers,30.357142857142858,202.4742857142857,100.63262514285714,97.5,91.0,6.5,42.2,22.8,7.7,4.7,14.2,23.2,30.8,11.4,True
2000_Sacramento Kings,2000,Sacramento Kings,28.571428571428573,200.1157142857143,101.21581485714286,105.0,102.0,3.0,44.8,23.4,9.4,4.6,15.6,21.1,32.0,12.8,True
2000_San Antonio Spurs,2000,San Antonio Spurs,30.857142857142858,199.57142857142858,102.34979485714287,96.2,90.2,6.0,43.9,21.8,7.5,6.7,14.5,20.9,32.6,11.3,True
2000_Seattle SuperSonics,2000,Seattle SuperSonics,28.266666666666666,201.50666666666666,98.883056,99.1,98.1,1.0,42.9,22.7,8.0,4.2,13.7,21.7,30.2,12.7,True
2000_Toronto Raptors,2000,Toronto Raptors,29.0,199.81333333333336,98.45970346666667,97.2,97.3,-0.09999999999999432,43.2,23.6,8.2,6.6,13.2,24.3,29.9,13.4,True
2000_Utah Jazz,2000,Utah Jazz,30.583333333333332,200.66,101.718006,96.5,92.0,4.5,40.9,24.8,7.6,5.4,14.2,24.6,29.6,11.3,True
2000_Vancouver Grizzlies,2000,Vancouver Grizzlies,27.666666666666668,200.82933333333332,100.90910026666667,93.9,99.5,-5.599999999999994,40.6,20.7,7.4,4.2,16.0,22.9,28.3,12.3,False
2000_Washington Wizards,2000,Washington Wizards,27.75,200.66,102.284996,96.6,99.9,-3.3000000000000114,42.7,21.6,7.2,4.6,15.5,26.2,29.7,13.0,False
2001_Atlanta Hawks,2001,Atlanta Hawks,26.1875,200.025,97.8908235,91.0,96.2,-5.200000000000003,42.9,19.0,7.7,4.7,15.8,22.7,30.4,12.5,False
2001_Boston Celtics,2001,Boston Celtics,26.333333333333332,199.81333333333333,99.79024,94.6,96.8,-2.200000000000003,39.8,20.8,9.4,4.1,15.1,23.8,28.9,10.9,False
2001_Charlotte Hornets,2001,Charlotte Hornets,28.933333333333334,201.50666666666666,104.02376533333333,91.9,89.8,2.1000000000000085,44.3,22.8,8.2,5.5,13.4,21.3,31.6,12.7,True
2001_Chicago Bulls,2001,Chicago Bulls,23.625,200.9775,104.2978105,87.6,96.7,-9.100000000000009,38.9,22.1,8.2,4.6,14.6,23.2,27.6,11.3,False
2001_Cleveland Cavaliers,2001,Cleveland Cavaliers,28.0,200.09555555555553,102.18419777777778,92.2,96.5,-4.299999999999997,42.1,20.8,7.8,5.3,15.8,23.2,29.8,12.4,False
2001_Dallas Mavericks,2001,Dallas Mavericks,26.733333333333334,203.87733333333333,103.3282576,100.5,96.2,4.299999999999997,41.4,20.8,7.4,6.0,13.1,23.3,31.1,10.4,True
2001_Denver Nuggets,2001,Denver Nuggets,28.666666666666668,202.01466666666664,104.11448373333333,96.6,99.0,-2.4000000000000057,44.2,24.0,6.7,6.6,13.3,22.2,31.5,12.7,False
2001_Detroit Pistons,2001,Detroit Pistons,27.785714285714285,199.02714285714288,98.62386057142858,95.6,97.3,-1.7000000000000028,45.5,19.9,7.5,5.5,15.4,23.8,32.0,13.5,False
