season,team_abbreviation,age,player_height,player_weight
1999-00,DEN,26.533333333333335,199.81333333333333,98.0665904
1999-00,DET,28.357142857142858,201.02285714285716,100.82702171428572
1999-00,GSW,27.833333333333332,201.92999999999998,102.00780088888888
1999-00,HOU,28.125,202.2475,106.2255765
1999-00,IND,29.428571428571427,205.0142857142857,101.96100171428573
1999-00,LAC,26.176470588235293,201.7058823529412,100.53733270588235
1999-00,LAL,28.642857142857142,201.3857142857143,101.2482142857143
1999-00,MIA,28.75,200.3425,102.0865495
1999-00,MIL,27.923076923076923,201.44153846153844,101.77906646153846
1999-00,MIN,27.53846153846154,200.46461538461537,98.04565538461537
1999-00,NJN,28.866666666666667,201.676,100.6067056
1999-00,NYK,30.214285714285715,201.74857142857144,100.43822857142857
1999-00,ORL,25.9375,199.39,98.996454
